node,mean,sd,MC error,2.50%,median,97.50%,start,sample
"delta.centred[8,11]",-0.06765,0.009571,6.91E-05,-0.08624,-0.06765,-0.04876,15001,40000
"delta.centred[8,12]",-0.03678,0.009853,7.31E-05,-0.0562,-0.03669,-0.01762,15001,40000
"delta.centred[9,1]",0.1361,0.00995,7.36E-05,0.1167,0.1361,0.1556,15001,40000
"delta.centred[9,2]",0.1315,0.009769,7.11E-05,0.1125,0.1315,0.1506,15001,40000
"delta.centred[9,3]",-0.1343,0.01397,1.14E-04,-0.1619,-0.1343,-0.1073,15001,40000
"delta.centred[9,4]",-0.1221,0.01372,1.08E-04,-0.1491,-0.1221,-0.09511,15001,40000
"delta.centred[9,5]",-0.05866,0.01385,1.11E-04,-0.08604,-0.05853,-0.03172,15001,40000
"delta.centred[9,6]",-0.02508,0.01251,9.50E-05,-0.04953,-0.02501,-9.66E-04,15001,40000
"delta.centred[9,7]",-0.05341,0.01175,9.46E-05,-0.07671,-0.05331,-0.03054,15001,40000
"delta.centred[9,8]",-0.02663,0.01134,8.27E-05,-0.04906,-0.02663,-0.004541,15001,40000
"delta.centred[9,9]",-0.03711,0.01126,8.52E-05,-0.05938,-0.03703,-0.01506,15001,40000
"delta.centred[9,10]",-0.008025,0.01089,8.23E-05,-0.02939,-0.008022,0.01323,15001,40000
"delta.centred[9,11]",0.06161,0.01037,7.57E-05,0.04116,0.06164,0.0819,15001,40000
"delta.centred[9,12]",0.1361,0.0102,7.71E-05,0.1161,0.1361,0.1561,15001,40000
"delta.centred[10,1]",0.05471,0.009951,7.20E-05,0.035,0.05478,0.07408,15001,40000
"delta.centred[10,2]",0.05643,0.009687,8.12E-05,0.03745,0.05644,0.07532,15001,40000
"delta.centred[10,3]",-0.05157,0.01314,1.13E-04,-0.07715,-0.0516,-0.02587,15001,40000
"delta.centred[10,4]",-0.01805,0.01306,1.05E-04,-0.04362,-0.01803,0.007617,15001,40000
"delta.centred[10,5]",-0.02625,0.01297,1.04E-04,-0.05146,-0.02624,-0.001002,15001,40000
"delta.centred[10,6]",-0.02778,0.01183,9.57E-05,-0.05066,-0.02777,-0.00419,15001,40000
"delta.centred[10,7]",-0.02586,0.01115,9.48E-05,-0.04783,-0.0258,-0.003814,15001,40000
"delta.centred[10,8]",0.01015,0.01077,8.36E-05,-0.01114,0.01017,0.03127,15001,40000
"delta.centred[10,9]",0.001056,0.01058,8.69E-05,-0.01981,0.001122,0.02184,15001,40000
"delta.centred[10,10]",-0.005726,0.01038,7.74E-05,-0.02611,-0.005709,0.01455,15001,40000
"delta.centred[10,11]",0.004775,0.01025,8.07E-05,-0.01517,0.004717,0.02493,15001,40000
"delta.centred[10,12]",0.02811,0.01038,7.51E-05,0.007669,0.02813,0.04828,15001,40000
"delta.centred[11,1]",-0.05492,0.01016,7.31E-05,-0.07521,-0.05481,-0.03533,15001,40000
"delta.centred[11,2]",-0.06605,0.0097,7.67E-05,-0.08528,-0.06606,-0.04692,15001,40000
"delta.centred[11,3]",-0.03239,0.01228,9.73E-05,-0.05649,-0.0324,-0.008328,15001,40000
"delta.centred[11,4]",0.05091,0.01213,9.80E-05,0.02716,0.05088,0.07485,15001,40000
"delta.centred[11,5]",0.07192,0.01214,9.68E-05,0.04804,0.07193,0.09572,15001,40000
"delta.centred[11,6]",0.04294,0.01136,9.23E-05,0.02062,0.0429,0.06542,15001,40000
"delta.centred[11,7]",0.02959,0.01062,8.23E-05,0.008832,0.02954,0.05045,15001,40000
"delta.centred[11,8]",0.02864,0.01042,8.35E-05,0.008203,0.02865,0.04904,15001,40000
"delta.centred[11,9]",0.0302,0.01018,7.85E-05,0.0102,0.03019,0.0502,15001,40000
"delta.centred[11,10]",-0.008983,0.01009,8.21E-05,-0.02885,-0.009015,0.01082,15001,40000
